POS;MONTH;DATE;POS_CAT;POS_CHANNEL;POS_GROUP;LAST_TR_DATE;POS_STATUS;CASH_IN_OUT_STATUS;SITE;LOCALITE;MILIEU;ZONE;DACR;BALANCE;LONGITUDE;LATITUDE;LOCALISATION;SECTEUR;LAST_VISITE_DATE;VISITE;COMMISSIONS_AMNT;IMPACT_VISITE;COMMISSION_PERF;COMMISSION_PERF_2
rU7NFhht;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-21;Inactif récent;Inactif récent;DOSSO_SAMARIA_OUDOUN_KOUKOU;DOSSO;Urbain;Centre;Dosso;41.93;3.19659;13.05128;Visites;Dosso 2;2020-07-21;Non;0;Non visité;Non;Zero
4X86YbLZ;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-29;Futur inactif;Futur inactif;DOSSO 500;DOSSO;Urbain;Centre;Dosso;16.5;3.19532833333333;13.039428333333301;Visites;Dosso 2;2020-07-29;Non;0;Non visité;Non;Zero
kc6e3Zcg;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-09;Actif;Actif;ECOLE CHEIK HAMDAN;TAHOUA;Urbain;Centre;Tahoua;58.95;5.287222;14.886167000000002;Système;Tahoua 3;1970-01-01;Jamais;555;Jamais visité;Non;Low
Nz4uhj4X;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;DOSSO 500;DOSSO;Urbain;Centre;Dosso;1862.0;3.1926716666666697;13.043358333333302;Visites;Dosso 2;2020-08-18;Oui;672;A maintenu son statut;Non;Low
7ZhPTe3B;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;BANQUE ATLANTIQUE;NIAMEY;Urbain;Grand Marché;Niamey;441.0;2.11525049;13.51793354;Système;Grand Marché 4;1970-01-01;Jamais;12179;Jamais visité;Oui;High
W8TVsdOY;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-04;Actif;Actif;DEUXIEME ARRONDISSEMENT;NIAMEY;Urbain;Grand Marché;Niamey;1515.82;2.12161864;13.51494516;Système;Grand Marché 5;1970-01-01;Jamais;252;Jamais visité;Non;Low
QZFgVAz7;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;TAHOUA 700;TAHOUA;Urbain;Centre;Tahoua;520.0;5.27256423;14.89363192;Système;Tahoua 1;1970-01-01;Jamais;13;Jamais visité;Non;Low
V08ZUBRP;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-22;Actif;Actif;STADE GSK;NIAMEY;Urbain;Petit Marché;Niamey;3776.12;2.10825;13.532389000000002;Système;Petit Marché 3;1970-01-01;Jamais;4025;Jamais visité;Oui;Medium
y3hco190;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-22;Inactif récent;Inactif récent;TAHOUA_AYARAGGOUA;TAHOUA;Urbain;Centre;Tahoua;512.0;5.2597;14.8919;Système;Tahoua 3;1970-01-01;Jamais;0;Jamais visité;Non;Zero
BifxVqe3;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-17;Actif;Actif;GUIDAN ROUMJI;GUIDAN ROUMDJI;Urbain;Sud;Maradi;89.2;6.70005333333333;13.662645000000001;Visites;Guidan Roumdji;2020-07-26;Non;13;Non visité;Non;Low
lwcHCMro;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;AEROPORT QUARTIER;NIAMEY;Urbain;Wadata;Niamey;1833.0;2.18196536;13.46889294;Système;Wadata 5;1970-01-01;Jamais;170;Jamais visité;Non;Low
O3LWGzZY;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-21;Inactif récent;Inactif récent;ZINDER 801;ZINDER;Urbain;Centre;Zinder;7.5;8.998764999999999;13.805608333333302;Visites;Zinder 1;2020-07-21;Non;0;Non visité;Non;Zero
5l8kUI1d;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;CITÉ_SONUCI;NIAMEY;Urbain;Petit Marché;Niamey;28.7;2.06664666666667;13.560763333333302;Visites;Petit Marché 2;2020-07-21;Non;407;Non visité;Non;Low
rtXPejWi;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-22;Actif;Actif;DOSSO_TONDOBON;DOSSO;Urbain;Centre;Dosso;33436.5;3.20629;13.04319;Visites;Dosso 2;2020-08-18;Oui;2546;A maintenu son statut;Oui;Medium
GBlhthGF;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-10;Actif;Actif;AMBASSADE LYBIE;NIAMEY;Urbain;Petit Marché;Niamey;369.5;2.0799302;13.52637744;Système;Petit Marché 1;1970-01-01;Jamais;777;Jamais visité;Non;Low
Aumlb8wB;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;CLINIQUE PLATEAU;NIAMEY;Urbain;Petit Marché;Niamey;30377.01;2.08894244;13.53534322;Système;Petit Marché 5;1970-01-01;Jamais;18352;Jamais visité;Oui;High
KvDtkTRE;2020-08-01;2020-08-24;Orange Shop Agent;ONE;Orange;2020-08-24;Actif;Actif;CALL CENTER NODAL;NIAMEY;Urbain;Petit Marché;Niamey;1744200.0;2.09971124;13.53200075;Système;Petit Marché 3;1970-01-01;Jamais;0;Jamais visité;Non;Zero
VMxPVNgO;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-19;Inactif récent;Inactif récent;MARADI UNIVERSITE;MARADI;Urbain;Sud;Maradi;261.6;7.12788889;13.49197223;Système;Maradi 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
pXwDszTO;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-17;Actif;Actif;AGADEZ SABON GARI;AGADEZ;Urbain;Sud;Agadez;9012.0;8.011167;16.977667;Système;Agadez 2;1970-01-01;Jamais;212;Jamais visité;Non;Low
GHp8XMYY;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;CAMPING KOIRA KANO;NIAMEY;Urbain;Petit Marché;Niamey;53005.0;2.07738889;13.53258334;Système;Petit Marché 5;1970-01-01;Jamais;20713;Jamais visité;Oui;High
ymHhVJG2;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;RIMBO COURANT NORD;NIAMEY;Urbain;Grand Marché;Niamey;70813.54;2.1270266666666697;13.537328333333301;Visites;Grand Marché 1;2020-08-20;Oui;19719;A maintenu son statut;Oui;High
QVTPtfgQ;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-17;Inactif récent;Inactif récent;AGADEZ MOOV OLD VILLE;AGADEZ;Urbain;Sud;Agadez;88.25;7.988167;16.971167;Système;Agadez 5;1970-01-01;Jamais;0;Jamais visité;Non;Zero
ifqhD9hj;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-20;Actif;Actif;TCHANGAREY;NIAMEY;Urbain;Nord;Niamey;44655.0;2.08948486;13.57733299;Système;Nord 2;1970-01-01;Jamais;4080;Jamais visité;Oui;Medium
fLeV9Qih;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;KONNI 711;KONNI;Urbain;Sud;Tahoua;4761.26;5.24713577;13.8028078;Système;Konni;1970-01-01;Jamais;1193;Jamais visité;Oui;Medium
8Y0BnSGv;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-04-22;Inactif âgé;Inactif âgé;AÉROPORT CHÂTEAU;NIAMEY;Urbain;Wadata;Niamey;35.0;2.2045;13.45711;Système;Wadata 5;1970-01-01;Jamais;0;Jamais visité;Non;Zero
