"POS";"MONTH";"DATE";"POS_CAT";"POS_CHANNEL";"POS_GROUP";"LAST_TR_DATE";"POS_STATUS";"INACTIVITY_DAYS";"LAST_CI_DATE";"LAST_CO_DATE";"CASH_IN_OUT_STATUS";"CASH_IN_CNT";"CASH_IN_AMNT";"CASH_OUT_CNT";"CASH_OUT_AMNT";"BALANCE";"LAST_VISITE_DATE";"LONGITUDE";"LATITUDE";"SITE";"LOCALISATION";"LOCALITE";"MILIEU";"SECTEUR";"ZONE";"DACR";"VISITE";"COMMISSIONS_AMNT";"IMPACT_VISITE";"COMMISSION_PERF"
"h6DuIH93";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-04-23;"Inactif âgé";123;2020-04-23;1970-01-01;"Inactif âgé";0;0;0;0;14.65;1970-01-01;7.11403355;13.48222818;"MARADI 600";"Système";"MARADI";"Urbain";"Maradi 1";"Sud";"Maradi";"Jamais";0;"Jamais visité";"Non"
"HNrXJ9Rx";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-06-18;"Inactif récent";43;2020-06-18;1970-01-01;"Inactif récent";0;0;0;0;4.23;1970-01-01;8.9663;13.82301;"CEG 13 FRANCO ARABE";"Système";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";"Jamais";0;"Jamais visité";"Non"
"HNrXJ9Rx";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-06-18;"Inactif récent";67;2020-06-18;1970-01-01;"Inactif récent";0;0;0;0;4.23;1970-01-01;8.98083056;13.82438333;"ZINDER JAGUINDI";"Système";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";"Jamais";0;"Jamais visité";"Non"
"7BW9v2Yd";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-31;"Actif";0;2020-07-31;2020-07-25;"Actif";1;100;0;0;25.05;1970-01-01;2.14727759;13.46044139;"SAGA_GOUDRON";"Système";"NIAMEY";"Urbain";"Haro Banda 1";"Haro Banda";"Niamey";"Jamais";475;"Jamais visité";"Non"
"7BW9v2Yd";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-07-31;"Futur inactif";24;2020-07-31;2020-07-25;"Futur inactif";0;0;0;0;25.05;1970-01-01;2.14408467;13.46727495;"CITÉ_OLANI";"Système";"NIAMEY";"Urbain";"Haro Banda 1";"Haro Banda";"Niamey";"Jamais";0;"Jamais visité";"Non"
"sgFaS1k0";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-28;"Actif";3;2020-07-28;1970-01-01;"Actif";0;0;0;0;2863.48;1970-01-01;2.14069316;13.47016569;"SAGA_ECOLE";"Système";"NIAMEY";"Urbain";"Haro Banda 1";"Haro Banda";"Niamey";"Jamais";1840;"Jamais visité";"Oui"
"sgFaS1k0";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-22;"Actif";2;2020-08-22;1970-01-01;"Actif";0;0;0;0;1873.48;1970-01-01;2.14069316;13.47016569;"SAGA_ECOLE";"Système";"NIAMEY";"Urbain";"Haro Banda 1";"Haro Banda";"Niamey";"Jamais";10;"Jamais visité";"Non"
"kOSoCjNZ";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-23;"Actif";8;2020-07-23;2020-06-27;"Actif";0;0;0;0;43.31;1970-01-01;7.09893056;13.49496667;"YANDAKA ONI";"Système";"MARADI";"Urbain";"Maradi 2";"Sud";"Maradi";"Jamais";355;"Jamais visité";"Non"
"kOSoCjNZ";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-07-23;"Inactif récent";32;2020-07-23;2020-06-27;"Inactif récent";0;0;0;0;43.31;1970-01-01;7.3841;18.7369;"ARLIT HQ_AIRTEL";"Système";"ARLIT";"Urbain";"Arlit 2";"Nord";"Agadez";"Jamais";0;"Jamais visité";"Non"
"27XYTYrO";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-09;"Futur inactif";22;2020-07-09;1970-01-01;"Futur inactif";0;0;0;0;1715;2020-07-21;8.98665;13.8139883333333;"ZINDER 800";"Visites";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";"Oui";2;"N'a pas réagi";"Non"
"27XYTYrO";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-07-09;"Inactif récent";46;2020-07-09;1970-01-01;"Inactif récent";0;0;0;0;1715;2020-08-05;8.98662333333333;13.8137483333333;"ZINDER 800";"Visites";"ZINDER";"Urbain";"Zinder 3";"Centre";"Zinder";"Oui";0;"N'a pas réagi";"Non"
"zBw8tIin";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-22;"Actif";2;2020-08-22;1970-01-01;"Actif";0;0;0;0;1901;2020-07-30;5.375335;14.5158233333333;"BADAGUICHIRI";"Visites";"BADAGUICHIRI";"Rural";"Illéla";"Centre";"Tahoua";"Non";1;"Non visité";"Non"
"ygG64zxd";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-03-20;"Inactif âgé";133;2020-03-20;1970-01-01;"Inactif âgé";0;0;0;0;276.25;1970-01-01;8.9961;13.81135;"ZINDER GARIN MALAM";"Système";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";"Jamais";0;"Jamais visité";"Non"
"ygG64zxd";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-03-20;"Inactif âgé";157;2020-03-20;1970-01-01;"Inactif âgé";0;0;0;0;276.25;1970-01-01;8.9961;13.81135;"ZINDER GARIN MALAM";"Système";"ZINDER";"Urbain";"Zinder 1";"Centre";"Zinder";"Jamais";0;"Jamais visité";"Non"
